m,gmin,alpha,n_layers,N,lambda,C,Episode,mean,std
64,10,0.0001,6,15000,1,128,15000,344,637
64,5,0.0001,3,15000,1,64,15000,311,715
64,10,5E-05,6,15000,1,128,15000,447,593
64,10,5E-05,3,15000,1,128,15000,319,877
64,10,0.0001,6,15000,1,32,15000,595,678
64,10,5E-05,6,15000,1,128,15000,470,973
64,10,5E-05,6,15000,1,128,15000,549,923
64,10,0.0001,3,15000,1,32,15000,438,1180
64,5,0.0001,6,15000,1,32,15000,606,1064
64,5,0.0001,3,15000,1,32,15000,617,1068
64,10,0.0001,3,15000,1,32,15000,777,936
64,5,0.0001,6,15000,2,32,15000,759,986
64,5,5E-05,6,15000,2,64,15000,607,1341
64,10,5E-05,6,15000,1,32,15000,817,1196
64,5,5E-05,3,15000,1,64,15000,967,1360
64,10,5E-05,3,15000,1,64,15000,909,1426
64,5,0.0001,3,15000,1,64,15000,815,1577
64,5,5E-05,6,15000,2,128,15000,1063,1335
